title,time,county,link,img_url,content,town
國內史上最大宗！桃園破獲非法笑氣分裝場 16公噸可灌1.7萬支鋼瓶,2024/5/29 19:27,桃園,https://news.ltn.com.tw/news/society/breakingnews/4688720,https://img.ltn.com.tw/Upload/news/600/2024/05/29/4688720_3_1.jpg,〔記者鄭淑婷／桃園報導〕桃園市警局刑事警察大隊、大園警分局、桃市府環保局今（29）執行笑氣查緝專案，在大園區中山南路非法鐵皮屋查獲地下笑氣分裝場，現場1座35公噸的ISO TANK灌式貨櫃槽，推估裡頭剩餘笑氣16公噸，可分裝超過1萬7000支鋼瓶，若以每支5000元計算，市值高達8500萬元，為國內破獲最大宗非法笑氣分裝場，數量之大令警、環人員訝異。,"桃園市,大園"
逢甲商圈三寶大媽突「鬼切」 男大生「初音未來」重機噴飛,2024/5/29 19:04,台中,https://news.ltn.com.tw/news/society/breakingnews/4688680,https://img.ltn.com.tw/Upload/news/600/2024/05/29/4688680_4_1.jpg,〔記者許國楨／台中報導〕台中市張姓婦人昨天下午騎車行經逢甲商圈時，直接從外側車道切入內側車道，造成後方騎乘「初音未來」塗裝重機的張姓男大生閃避不及，直接撞上，張生當場連人帶車噴飛，驚險一幕嚇傻逛街民眾，2名騎士都因受傷送醫，幸均無大礙，詳細肇因將由警方進一步釐清。,無相符區域
疑性侵女兒、性騷女警 北捷警小隊長正式停職,2024/5/29 18:19,台北,https://news.ltn.com.tw/news/society/breakingnews/4688670,https://img.ltn.com.tw/Upload/news/600/2024/05/29/phpxpWcLl.jpg,〔記者劉慶侯／台北報導〕台北市警局捷運警察隊一名小隊長，日前被爆涉嫌性侵女兒，並在2015年涉嫌騷擾同單位2名女警；由於案情重大，北市警在4月25日宣布將小隊長報請停職。捷運警察隊、台北市警局先後召開考績會，經考績委員審議後，全案送交警政署召開考績委員會，警政署昨天召開考績會後，決議將小隊長停職。,無相符區域
陳幸妤為患者植牙挨告疏失 二審判免賠定讞,2024/5/29 17:39,台南,https://news.ltn.com.tw/news/society/breakingnews/4688598,https://img.ltn.com.tw/Upload/news/600/2024/05/29/4688598_1_1.jpg,〔記者王俊忠／台南報導〕前總統陳水扁從事牙醫工作的女兒陳幸妤，遭周姓女子指控有植牙醫療疏失、求償130萬元，一審判陳幸妤勝訴。案子上訴二審，周女秀出缺牙窘況、指陳醫療不當致其身心受創。陳幸妤律師主張醫審會已鑑定陳沒有醫療疏失，高等法院台南分院29日下午仍判陳幸妤勝訴定讞。,無相符區域
與朋友嬉鬧？ 高雄街頭突見妙齡女鑽出轎車後車廂,2024/5/29 17:28,高雄,https://news.ltn.com.tw/news/society/breakingnews/4688594,https://img.ltn.com.tw/Upload/news/600/2024/05/29/4688594_1_1.jpg,〔記者許麗娟／高雄報導〕有民眾昨（28）開車行經高雄市三民區六合路、河北路口停等紅燈時，突見前車的後車廂打開，並鑽出一名穿著清涼背心、真理褲的妙齡女子，女子爬出後車廂後，迅速跑到轎車旁打開車門坐進副駕駛座，讓目睹全程的民眾不斷驚呼，忍不住質疑是「偷情喔？」轄區員警找到車主，對方則稱是與朋友嬉鬧。,三民
傳將接任北市警察局長 方仰寧回應了,2024/5/29 17:24,台北,https://news.ltn.com.tw/news/society/breakingnews/4688584,https://img.ltn.com.tw/Upload/news/600/2024/05/29/phpfNnau2.jpg,〔記者鄭景議／台北報導〕台北市警察局長人選近日將拍板定案，外傳警專校長方仰寧為接任的熱門人選，警政署長張榮興今天（29日）受訪說，北市警局長職缺內政部正在審核；方仰寧則說會堅守崗位、外界勿捕風捉影。,無相符區域
司法院設「割喉少年」條款 少年刑滿3年未再故意犯罪才能塗銷前科,2024/5/29 17:17,台北,https://news.ltn.com.tw/news/society/breakingnews/4688566,https://img.ltn.com.tw/Upload/news/600/2024/05/29/phpfuEzZx.jpg,〔記者張文川／台北報導〕新北市某國中去年12月發生國三學生在校園遭割喉命案，被害人家屬事發後怒批「少年事件處理法」是狗屁法律，因為動手傷人和教唆殺人的嫌犯，未來可能連前科都可以被塗銷；對此，司法院院會今天通過「少年事件處理法」部分條文修正草案，增訂少年前案紀錄塗銷要件，規定受保護、轉介處分或判刑的少年，於執行完畢或赦免「後」的3年內，未再故意觸犯刑罰法律而被判刑或保護處分者，才可以塗銷前案宣告，修正草案將函請行政院院會銜後，送請立法院審議。,無相符區域
晴空匯火警引發關注高層樓救災 苗栗消防局：都有定期安檢與消防演練,2024/5/29 17:11,苗栗,https://news.ltn.com.tw/news/society/breakingnews/4688509,https://img.ltn.com.tw/Upload/news/600/2024/05/29/4688509_2_1.jpg,〔記者彭健禮／苗栗報導〕新竹市晴空匯火警引起各界關注高樓層救災能量，苗栗縣議員葉忠倫、周玉滿於今（29）日議會總質詢也都促請縣府消防局強化高樓救災能力及關心雲梯車數量。消防局長匡夢麟表示，縣內有9棟16層樓以上大樓，定期安檢與消防演練；今年底將再添1輛雲梯車，全縣將達7輛；此外，此次支援新竹市出動大型吊車的啟德機械也是縣內協助救災的民間廠商之一。,無相符區域
林口麗園國小附近露鳥男出沒 家長憂心 警：移送9次都不起訴,2024/5/29 17:06,新北,https://news.ltn.com.tw/news/society/breakingnews/4688561,https://img.ltn.com.tw/Upload/news/600/2024/05/29/phpc1PqtI.png,〔記者黃子暘／新北報導〕學童上學、放學安全是家長最在意的事情，新北市議員李宇翔今（29）日質詢指出，林口區麗園國小周邊出現一名男子，疑似會尾隨女學生做出不雅動作，在地方社團引發討論，希望相關單位加強校安保障。教育局長張明文回應，研議優先派給志工、鐘點人力幫助學校加強保護；警察局長廖訓誠說，此案可能涉及公然猥褻行為，若有證人願舉發，警察局會依法查處；林口分局說，將加強巡邏。,林口
砰！一聲巨響「後視鏡噴飛」 落跑駕駛被揪出竟辯「沒感覺」,2024/5/29 17:04,台中,https://news.ltn.com.tw/news/society/breakingnews/4688508,https://img.ltn.com.tw/Upload/news/600/2024/05/29/4688508_1_1.jpg,〔記者許國楨／台中報導〕台中市紀姓市民前天在北屯區路段臨停路旁，突然聽見一聲巨響，只見1輛黑色轎車疾駛而過時，直接撞飛左後視鏡後未停車即離去，紀男不甘愛車受損報案，警方根據行車紀錄器影像「以車追人」，1小時內就揪出肇逃黃姓駕駛，他辯稱當下並沒有感覺碰撞，仍收到肇逃罰單。,北屯
